Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type Reclassify,Partition
302.000,310.000,1664,28.600,190,0,"1","2_Testing"
302.000,309.900,1735,27.200,192,0,"3","2_Testing"
302.000,309.800,1480,40.000,199,0,"1","1_Training"
301.900,309.600,1439,41.700,201,0,"2","2_Testing"
301.900,309.700,1533,35.900,204,0,"2","2_Testing"
302.000,309.700,1551,34.800,207,0,"1","1_Training"
302.000,309.700,1414,36.300,209,0,"1","2_Testing"
301.900,309.600,1551,34.600,211,0,"2","2_Testing"
301.800,309.600,1436,49.000,214,0,"2","2_Testing"
301.900,309.600,1385,45.800,217,0,"2","1_Training"
301.800,309.500,1732,30.100,220,0,"2","1_Training"
301.900,309.600,1410,49.000,223,0,"1","2_Testing"
301.900,309.600,1446,43.200,225,0,"1","1_Training"
301.800,309.500,1525,39.600,227,0,"1","1_Training"
301.800,309.600,1443,42.700,231,0,"1","2_Testing"
301.900,309.700,1719,31.900,0,0,"1","2_Testing"
302.000,309.800,1532,39.400,2,0,"1","1_Training"
302.000,309.800,1701,27.200,4,0,"1","1_Training"
302.200,310.100,1421,45.400,9,0,"2","2_Testing"
302.200,310.100,1458,45.100,15,0,"1","1_Training"
302.200,310.100,1572,34.600,17,0,"2","1_Training"
302.200,310.000,1483,48.700,20,0,"1","1_Training"
302.300,310.100,1513,40.400,22,0,"1","1_Training"
302.300,310.100,1383,42.900,24,0,"3","1_Training"
302.400,310.200,1539,37.700,29,0,"1","1_Training"
302.300,310.100,1563,37.800,31,0,"2","1_Training"
302.300,310.100,1653,29.700,34,0,"1","1_Training"
302.200,310.000,1468,43.600,38,0,"3","2_Testing"
302.300,310.200,1506,33.800,43,0,"3","1_Training"
302.300,310.100,1388,49.900,48,0,"1","2_Testing"
302.400,310.200,1485,45.900,50,0,"2","1_Training"
302.300,310.200,1394,55.400,57,0,"1","1_Training"
302.400,310.100,2009,18.900,59,0,"1","2_Testing"
302.500,310.200,1586,32.200,64,0,"1","1_Training"
302.500,310.300,1688,31.600,66,0,"1","1_Training"
302.600,310.500,1450,43.200,68,0,"1","1_Training"
302.700,310.500,1398,47.300,70,0,"2","2_Testing"
302.700,310.500,1520,39.300,73,0,"1","1_Training"
302.600,310.400,1514,42.700,75,0,"1","1_Training"
302.600,310.400,1532,36.100,77,0,"2","1_Training"
302.600,310.300,1642,33.200,82,0,"1","1_Training"
302.600,310.200,1873,21.300,87,0,"3","2_Testing"
302.600,310.200,2157,17.200,94,0,"2","1_Training"
302.600,310.200,1563,39.000,97,0,"2","1_Training"
302.600,310.200,1631,31.000,100,0,"2","2_Testing"
302.500,310.200,1547,36.900,103,0,"1","1_Training"
302.600,310.300,1479,40.400,105,0,"1","2_Testing"
302.400,310.100,1906,21.200,110,0,"1","2_Testing"
302.300,310.100,1731,33.400,112,0,"2","1_Training"
302.300,310.100,1688,30.400,115,0,"3","1_Training"
302.300,310.200,1443,54.600,120,0,"3","1_Training"
302.400,310.200,1445,46.400,125,0,"1","1_Training"
302.400,310.200,1435,44.900,127,0,"3","1_Training"
302.400,310.100,1556,32.900,132,0,"1","1_Training"
302.400,310.100,1577,35.800,136,0,"2","1_Training"
302.400,310.200,1578,31.200,139,0,"1","1_Training"
302.400,310.100,1418,52.300,141,0,"1","1_Training"
302.400,310.200,1392,55.800,143,0,"2","1_Training"
302.500,310.300,1446,44.000,146,0,"1","1_Training"
302.500,310.200,1563,34.800,150,0,"1","1_Training"
302.500,310.300,1405,57.400,152,0,"1","2_Testing"
302.400,310.200,2224,16.000,154,0,"1","1_Training"
302.500,310.200,1716,29.900,156,0,"1","2_Testing"
302.500,310.300,1584,35.500,158,0,"1","2_Testing"
302.500,310.300,1488,41.800,160,0,"2","1_Training"
302.500,310.300,1551,37.300,168,0,"1","2_Testing"
302.500,310.300,1549,40.900,170,0,"1","1_Training"
302.500,310.300,1447,39.200,172,0,"2","1_Training"
302.400,310.200,1400,53.700,175,0,"1","1_Training"
302.400,310.100,1401,48.800,177,0,"1","2_Testing"
302.400,310.100,1597,28.900,179,0,"3","1_Training"
302.300,310.100,1487,46.000,184,0,"1","1_Training"
302.500,310.300,1710,27.300,186,0,"2","2_Testing"
302.600,310.400,1478,47.700,189,0,"1","1_Training"
302.600,310.400,1743,26.300,191,0,"1","1_Training"
302.600,310.500,1596,32.800,193,0,"1","1_Training"
302.700,310.500,1642,30.800,195,0,"1","1_Training"
302.800,310.600,2016,19.900,199,0,"1","2_Testing"
302.800,310.600,1671,30.500,201,0,"1","2_Testing"
302.800,310.600,1404,43.200,203,0,"1","2_Testing"
302.800,310.600,1470,41.100,205,0,"1","2_Testing"
302.800,310.600,1617,37.900,207,0,"1","1_Training"
302.700,310.500,1725,29.000,209,0,"1","2_Testing"
302.700,310.600,1564,34.300,0,0,"1","1_Training"
302.800,310.600,1670,29.100,2,0,"1","1_Training"
302.700,310.600,1501,48.700,4,0,"1","1_Training"
302.700,310.500,1551,35.900,6,0,"1","1_Training"
302.700,310.500,1563,35.000,8,0,"1","1_Training"
302.600,310.400,1415,52.100,12,0,"1","1_Training"
302.600,310.300,1647,34.200,14,0,"1","1_Training"
302.500,310.200,1477,41.600,16,0,"1","1_Training"
302.600,310.200,1923,21.500,18,0,"1","2_Testing"
302.600,310.400,1544,35.100,25,0,"2","2_Testing"
302.700,310.500,1568,36.900,28,0,"3","1_Training"
302.700,310.400,1489,42.700,33,0,"1","1_Training"
302.600,310.400,1451,43.100,35,0,"2","1_Training"
302.700,310.400,1542,35.700,38,0,"1","1_Training"
302.600,310.500,1965,20.200,40,0,"2","1_Training"
302.500,310.500,1436,36.500,43,0,"1","1_Training"
302.500,310.400,1509,37.600,45,0,"2","1_Training"
302.500,310.400,1487,40.200,48,0,"1","1_Training"
302.500,310.400,1967,20.300,50,0,"1","1_Training"
302.600,310.400,1409,53.300,52,0,"3","1_Training"
302.600,310.500,1420,56.400,57,0,"2","2_Testing"
302.700,310.500,1511,37.700,60,0,"1","2_Testing"
302.600,310.400,1649,30.100,62,0,"3","1_Training"
302.500,310.400,1605,36.000,69,0,"2","1_Training"
302.500,310.300,1523,36.000,72,0,"1","1_Training"
302.600,310.400,1614,36.000,74,0,"3","1_Training"
302.600,310.300,1721,27.400,79,0,"3","1_Training"
302.600,310.400,1638,36.200,84,0,"1","1_Training"
302.400,310.200,1642,28.300,88,0,"1","1_Training"
302.500,310.200,1751,30.500,90,0,"2","2_Testing"
302.400,310.100,1645,31.600,93,0,"1","1_Training"
302.400,310.100,1426,46.800,95,0,"1","1_Training"
302.400,310.100,1520,36.600,97,0,"2","2_Testing"
302.400,310.100,1709,31.800,100,0,"1","1_Training"
302.400,310.000,1426,46.600,102,0,"1","1_Training"
302.400,310.100,1429,43.700,104,0,"1","1_Training"
302.500,310.200,1454,43.000,108,0,"1","1_Training"
302.500,310.300,1411,49.500,110,0,"2","1_Training"
302.400,310.300,1900,24.400,113,0,"1","1_Training"
302.400,310.300,1479,36.200,115,0,"1","1_Training"
302.500,310.400,1415,48.200,117,0,"1","2_Testing"
302.500,310.300,1539,39.000,119,0,"1","2_Testing"
302.400,310.300,1520,31.600,121,0,"1","2_Testing"
302.400,310.300,1480,45.800,123,0,"1","1_Training"
302.400,310.400,1666,29.700,125,0,"1","1_Training"
302.400,310.400,1456,47.600,127,0,"1","1_Training"
302.400,310.400,1865,23.900,129,0,"1","1_Training"
302.500,310.500,1918,21.600,131,0,"2","1_Training"
302.500,310.400,1488,48.400,134,0,"1","2_Testing"
302.500,310.500,1527,38.800,136,0,"2","1_Training"
302.400,310.400,1463,42.200,139,0,"2","1_Training"
302.400,310.400,1521,38.500,142,0,"1","1_Training"
302.500,310.500,1507,39.500,147,0,"1","2_Testing"
302.400,310.400,1586,34.300,149,0,"2","1_Training"
302.500,310.400,1487,42.000,152,0,"1","1_Training"
302.500,310.500,1520,41.200,154,0,"1","1_Training"
302.500,310.400,1422,41.900,156,0,"3","1_Training"
302.400,310.200,1633,28.000,164,0,"1","2_Testing"
302.400,310.200,1503,36.200,166,0,"1","2_Testing"
302.300,310.200,1548,35.300,170,0,"1","1_Training"
302.400,310.300,1923,23.300,172,0,"1","1_Training"
302.500,310.300,1592,32.600,174,0,"1","1_Training"
302.500,310.400,1580,35.600,176,0,"2","1_Training"
302.500,310.400,1427,46.800,179,0,"1","2_Testing"
302.500,310.400,1581,32.700,181,0,"2","2_Testing"
302.600,310.500,1542,39.900,184,0,"2","1_Training"
302.500,310.500,1463,43.000,189,0,"1","1_Training"
302.500,310.400,1429,43.200,191,0,"2","1_Training"
302.500,310.400,1451,53.600,194,0,"2","2_Testing"
302.600,310.500,1511,37.200,197,0,"1","1_Training"
302.600,310.600,1549,37.500,199,0,"1","1_Training"
302.500,310.500,1507,40.200,201,0,"2","2_Testing"
302.600,310.500,1524,33.700,204,0,"2","2_Testing"
302.700,310.500,1880,22.700,207,0,"2","1_Training"
302.600,310.500,1461,45.400,0,0,"1","1_Training"
302.600,310.500,1748,28.200,2,0,"1","1_Training"
302.700,310.600,1690,26.700,4,0,"1","1_Training"
302.700,310.600,1686,26.300,9,0,"1","1_Training"
302.700,310.700,1433,43.700,13,0,"1","2_Testing"
302.700,310.700,1597,41.900,15,0,"1","1_Training"
302.900,310.800,1610,32.200,17,0,"1","1_Training"
302.700,310.700,1398,57.700,19,0,"1","1_Training"
302.700,310.700,1977,20.000,21,0,"1","2_Testing"
302.800,310.800,1516,39.500,23,0,"1","1_Training"
302.800,310.800,1402,50.500,30,0,"1","1_Training"
302.800,310.800,1451,44.700,32,0,"2","1_Training"
302.700,310.800,1555,36.100,35,0,"2","1_Training"
302.800,310.900,1636,35.000,38,0,"1","1_Training"
302.800,310.900,1708,29.800,42,0,"1","2_Testing"
302.900,311.000,1556,36.500,44,0,"2","1_Training"
302.800,311.000,1436,43.500,47,0,"3","1_Training"
302.900,311.000,1402,40.700,52,0,"2","1_Training"
302.900,311.000,1437,49.900,55,0,"2","1_Training"
302.900,311.100,1926,21.800,58,0,"2","2_Testing"
303.000,311.200,1800,23.700,61,0,"1","2_Testing"
303.000,311.200,1641,32.600,63,0,"1","1_Training"
303.000,311.200,1494,37.000,67,0,"1","1_Training"
303.000,311.200,1601,32.900,69,0,"1","1_Training"
302.900,311.200,1634,36.900,71,0,"1","1_Training"
302.900,311.200,1467,37.700,73,0,"2","1_Training"
302.800,311.100,1550,32.300,76,0,"1","1_Training"
302.800,311.100,1563,32.200,78,0,"1","1_Training"
302.700,310.900,1395,48.300,80,0,"1","2_Testing"
302.800,311.000,1507,33.400,82,0,"2","2_Testing"
302.800,311.000,1564,38.500,85,0,"1","1_Training"
302.800,311.100,1721,30.000,87,0,"1","1_Training"
302.800,311.100,1456,36.100,89,0,"1","1_Training"
302.900,311.200,2102,17.800,91,0,"3","1_Training"
302.900,311.100,1555,33.900,96,0,"1","1_Training"
303.000,311.200,1409,41.900,98,0,"1","1_Training"
303.000,311.200,1387,41.400,100,0,"2","1_Training"
303.000,311.200,1460,43.900,103,0,"2","2_Testing"
303.000,311.100,1490,43.000,108,0,"2","2_Testing"
303.100,311.200,1399,49.200,111,0,"1","1_Training"
303.100,311.100,1420,55.800,113,0,"1","1_Training"
303.000,311.000,1409,41.700,120,0,"2","1_Training"
302.900,311.000,1452,58.300,123,0,"3","1_Training"
302.900,311.000,1820,24.600,128,0,"1","1_Training"
302.900,311.000,1469,48.700,130,0,"3","1_Training"
302.900,311.100,1556,45.300,135,0,"1","1_Training"
303.000,311.100,1980,20.200,137,0,"1","1_Training"
303.000,311.200,1519,38.000,139,0,"2","1_Training"
303.000,311.200,1456,44.000,142,0,"1","1_Training"
303.100,311.200,1394,45.300,144,0,"1","1_Training"
303.000,311.300,2194,16.500,148,0,"1","1_Training"
303.100,311.300,1403,55.600,150,0,"1","1_Training"
303.000,311.200,1503,37.000,152,0,"3","1_Training"
303.000,311.300,1793,29.300,157,0,"1","2_Testing"
303.100,311.400,1829,24.500,159,0,"1","1_Training"
303.100,311.400,1831,23.300,161,0,"2","1_Training"
303.100,311.300,2056,19.700,167,0,"3","1_Training"
303.000,311.100,1526,37.300,176,0,"2","1_Training"
303.000,311.100,1525,40.700,179,0,"1","2_Testing"
303.000,311.100,1428,39.800,181,0,"2","1_Training"
303.000,311.200,1511,45.700,184,0,"1","1_Training"
303.000,311.200,1664,29.800,186,0,"1","1_Training"
303.000,311.200,1592,38.900,188,0,"2","1_Training"
303.000,311.100,1597,36.700,191,0,"2","1_Training"
303.000,311.200,1735,26.100,194,0,"1","1_Training"
302.900,311.200,1751,23.800,196,0,"1","1_Training"
303.000,311.200,1383,44.600,198,0,"1","1_Training"
303.000,311.200,1382,50.500,203,0,"1","1_Training"
303.000,311.200,1755,30.400,205,0,"1","1_Training"
303.000,311.200,1614,35.700,207,0,"2","1_Training"
303.000,311.300,1466,43.000,210,0,"1","1_Training"
303.100,311.300,1847,24.700,212,0,"2","1_Training"
303.100,311.300,1474,34.800,215,0,"1","1_Training"
303.100,311.300,1657,31.800,217,0,"1","1_Training"
303.100,311.200,1435,40.100,219,0,"1","2_Testing"
303.100,311.300,1494,42.700,221,0,"3","1_Training"
303.200,311.400,1514,41.200,230,0,"1","1_Training"
303.300,311.400,1732,25.600,232,0,"1","1_Training"
303.300,311.400,1958,21.500,0,0,"1","2_Testing"
303.300,311.400,1630,32.500,2,0,"1","2_Testing"
303.300,311.400,1395,59.100,4,0,"2","1_Training"
303.300,311.400,1658,30.500,7,0,"1","1_Training"
303.100,311.200,1452,52.900,11,0,"1","1_Training"
303.100,311.100,1594,35.500,13,0,"2","2_Testing"
303.100,311.000,1510,47.600,16,0,"2","1_Training"
303.100,311.100,1854,22.600,19,0,"1","1_Training"
303.100,311.200,1626,32.300,21,0,"1","2_Testing"
303.100,311.200,1628,35.200,23,0,"1","1_Training"
303.100,311.200,1679,34.800,25,0,"1","1_Training"
303.100,311.200,1489,44.500,27,0,"2","1_Training"
303.200,311.200,1439,43.900,30,0,"1","2_Testing"
303.300,311.200,1607,31.700,34,0,"3","1_Training"
303.300,311.300,1389,53.900,39,0,"1","1_Training"
303.300,311.300,1566,46.100,41,0,"2","2_Testing"
303.300,311.500,1569,36.600,47,0,"2","1_Training"
303.300,311.400,1651,30.600,50,0,"3","1_Training"
303.300,311.400,1692,27.900,55,0,"3","1_Training"
303.200,311.400,1610,35.500,63,0,"1","2_Testing"
303.300,311.400,1511,43.400,65,0,"1","2_Testing"
303.300,311.500,1412,55.600,67,0,"1","1_Training"
303.400,311.500,1501,36.200,69,0,"1","1_Training"
303.400,311.500,1414,44.800,71,0,"1","1_Training"
303.500,311.500,1629,33.500,73,0,"3","2_Testing"
303.400,311.500,1879,21.300,78,0,"1","1_Training"
303.500,311.600,1466,47.000,80,0,"3","1_Training"
303.600,311.700,1476,40.100,85,0,"3","1_Training"
303.600,311.800,1695,30.700,90,0,"1","2_Testing"
303.600,311.700,1491,39.800,92,0,"1","1_Training"
303.600,311.800,1659,34.700,94,0,"2","1_Training"
303.600,311.800,1567,31.700,97,0,"1","1_Training"
303.600,311.800,1736,32.900,99,0,"1","2_Testing"
303.600,311.800,1627,30.800,104,0,"2","2_Testing"
303.500,311.600,1562,34.200,107,0,"2","1_Training"
303.500,311.600,2183,17.000,110,0,"1","2_Testing"
303.500,311.600,1577,38.100,112,0,"1","1_Training"
303.400,311.500,1560,36.400,114,0,"2","1_Training"
303.400,311.500,1483,43.000,117,0,"2","1_Training"
303.500,311.500,1535,33.300,120,0,"1","1_Training"
303.400,311.400,1606,29.600,122,0,"2","2_Testing"
303.400,311.500,1817,24.700,125,0,"2","1_Training"
303.400,311.500,1424,50.800,128,0,"1","1_Training"
303.300,311.600,1514,34.700,130,0,"1","2_Testing"
303.400,311.600,1449,41.700,132,0,"1","1_Training"
303.500,311.600,1573,34.000,134,0,"2","1_Training"
303.400,311.600,1564,41.900,137,0,"1","2_Testing"
303.500,311.600,1428,46.200,139,0,"1","2_Testing"
303.500,311.700,1620,31.000,141,0,"1","2_Testing"
303.500,311.700,1584,32.700,143,0,"3","1_Training"
303.600,311.800,1432,42.500,150,0,"2","1_Training"
303.700,311.900,1561,33.300,153,0,"1","2_Testing"
303.600,311.800,1614,33.200,155,0,"1","1_Training"
303.500,311.700,1959,22.300,157,0,"1","1_Training"
303.500,311.800,1944,23.500,159,0,"1","1_Training"
303.400,311.700,1793,25.800,161,0,"1","2_Testing"
303.400,311.600,1446,50.000,163,0,"2","1_Training"
303.400,311.700,1673,32.200,166,0,"1","2_Testing"
303.400,311.700,1515,44.200,168,0,"2","1_Training"
303.400,311.800,1564,35.900,171,0,"1","2_Testing"
303.500,311.800,1451,45.200,173,0,"1","1_Training"
303.400,311.800,1693,28.300,175,0,"3","1_Training"
303.400,311.700,1476,42.300,180,0,"1","1_Training"
303.400,311.600,1712,30.100,182,0,"1","1_Training"
303.400,311.600,1425,45.400,184,0,"2","2_Testing"
303.400,311.700,1690,34.900,189,0,"2","1_Training"
303.500,311.800,1927,21.900,195,0,"1","2_Testing"
303.400,311.800,1391,42.700,197,0,"2","2_Testing"
303.400,311.900,1771,31.600,202,0,"1","1_Training"
303.400,311.800,1515,42.600,204,0,"2","1_Training"
303.400,311.800,2133,18.300,207,0,"2","1_Training"
303.400,311.700,1406,47.100,213,0,"1","2_Testing"
303.300,311.700,1508,35.500,217,0,"1","1_Training"
303.300,311.700,1539,38.500,221,0,"1","1_Training"
303.300,311.600,1484,44.600,223,0,"1","1_Training"
303.200,311.500,1507,39.200,225,0,"1","1_Training"
303.200,311.500,1544,42.500,227,0,"1","1_Training"
303.200,311.500,1513,37.900,0,0,"1","2_Testing"
303.200,311.400,2102,19.000,5,0,"2","2_Testing"
303.300,311.500,1601,35.200,10,0,"1","1_Training"
303.200,311.300,1393,52.900,12,0,"1","1_Training"
303.300,311.300,1592,33.700,14,0,"1","2_Testing"
303.300,311.300,1409,51.800,16,0,"1","1_Training"
303.300,311.300,1393,47.400,18,0,"1","1_Training"
303.200,311.200,1475,43.100,20,0,"3","1_Training"
303.200,311.200,1427,45.600,25,0,"1","1_Training"
303.300,311.200,1763,27.300,27,0,"1","1_Training"
303.200,311.200,1404,50.900,31,0,"1","2_Testing"
303.200,311.200,1688,31.900,33,0,"2","1_Training"
303.300,311.400,1510,37.300,36,0,"1","1_Training"
303.300,311.300,1502,39.500,38,0,"3","1_Training"
303.200,311.400,1607,36.600,43,0,"3","2_Testing"
303.300,311.500,1384,54.800,48,0,"2","2_Testing"
303.400,311.700,1991,19.000,53,0,"3","2_Testing"
303.400,311.600,1497,42.800,58,0,"1","1_Training"
303.500,311.600,1465,48.700,60,0,"1","1_Training"
303.600,311.700,1546,38.500,64,0,"1","1_Training"
303.700,312.100,1443,45.900,74,0,"1","2_Testing"
303.700,312.000,1402,48.600,76,0,"2","1_Training"
303.700,312.000,1892,22.500,79,0,"1","1_Training"
303.600,312.000,1645,35.700,81,0,"2","2_Testing"
303.600,311.900,1473,50.100,84,0,"1","1_Training"
303.600,311.900,1544,37.100,88,0,"3","1_Training"
303.600,311.900,1617,36.000,95,0,"2","1_Training"
303.600,312.000,1435,37.900,98,0,"2","2_Testing"
303.600,312.000,1391,50.300,101,0,"1","1_Training"
303.600,312.000,1827,23.300,103,0,"1","1_Training"
303.500,312.000,1761,25.800,105,0,"1","2_Testing"
303.500,312.100,1522,36.400,107,0,"1","1_Training"
303.500,312.200,1818,23.600,109,0,"2","1_Training"
303.700,312.300,1511,38.900,117,0,"1","2_Testing"
303.700,312.400,1404,46.600,119,0,"1","1_Training"
303.700,312.300,1384,45.900,121,0,"1","1_Training"
303.800,312.500,1368,52.600,123,0,"1","1_Training"
303.700,312.500,1641,36.000,125,0,"1","2_Testing"
303.900,312.600,1642,32.300,127,0,"1","1_Training"
303.900,312.700,1401,50.000,129,0,"3","2_Testing"
303.800,312.600,1577,41.300,134,0,"1","1_Training"
303.700,312.600,1396,44.100,136,0,"1","1_Training"
303.700,312.600,1514,35.500,138,0,"3","2_Testing"
303.800,312.800,1646,35.800,143,0,"1","2_Testing"
303.800,312.800,1443,40.700,145,0,"1","2_Testing"
303.700,312.700,1469,48.500,147,0,"2","1_Training"
303.700,312.700,1564,40.200,150,0,"3","1_Training"
303.600,312.600,1498,40.200,155,0,"3","1_Training"
303.600,312.600,1699,27.900,160,0,"1","1_Training"
303.600,312.500,1431,49.000,162,0,"1","1_Training"
303.500,312.400,1390,47.300,164,0,"1","1_Training"
303.500,312.500,1380,46.100,166,0,"1","1_Training"
303.500,312.500,1457,46.400,168,0,"1","2_Testing"
303.500,312.500,1418,42.200,170,0,"1","2_Testing"
303.500,312.500,1353,51.000,172,0,"2","1_Training"
303.500,312.400,1574,32.700,175,0,"1","1_Training"
303.500,312.400,1318,54.200,177,0,"2","1_Training"
303.600,312.500,1710,31.400,180,0,"1","1_Training"
303.700,312.600,1621,38.800,182,0,"1","1_Training"
303.600,312.600,1606,33.600,184,0,"1","1_Training"
303.600,312.500,1375,54.000,186,0,"3","1_Training"
303.500,312.400,1503,36.500,191,0,"1","2_Testing"
303.500,312.300,1404,48.600,193,0,"1","1_Training"
303.400,312.200,1656,32.700,195,0,"1","2_Testing"
303.400,312.100,1499,39.400,197,0,"2","2_Testing"
303.400,312.000,1748,28.400,200,0,"2","1_Training"
303.400,311.900,1531,37.900,203,0,"1","2_Testing"
303.300,311.800,1536,40.600,205,0,"2","2_Testing"
303.400,311.900,1534,33.200,210,0,"3","2_Testing"
303.500,312.100,1674,30.800,0,0,"1","1_Training"
303.600,312.100,1967,20.900,2,0,"2","2_Testing"
303.600,312.200,1696,30.700,5,0,"1","2_Testing"
303.600,312.100,1627,32.500,7,0,"2","2_Testing"
303.500,311.900,1405,45.600,10,0,"1","1_Training"
303.500,311.900,1565,38.900,12,0,"1","1_Training"
303.500,311.900,1493,38.700,14,0,"1","1_Training"
303.400,311.800,1499,45.000,16,0,"1","1_Training"
303.300,311.800,1692,30.600,18,0,"1","1_Training"
303.400,311.800,2268,15.800,20,0,"1","1_Training"
303.400,311.800,1438,58.900,22,0,"1","1_Training"
303.500,311.900,1515,39.200,24,0,"1","2_Testing"
303.400,311.900,1491,38.200,26,0,"1","1_Training"
303.500,312.000,1756,29.700,28,0,"1","1_Training"
303.500,312.000,1436,45.100,32,0,"1","1_Training"
303.400,311.900,1510,42.200,36,0,"2","2_Testing"
303.400,311.900,1419,50.900,39,0,"2","2_Testing"
303.300,311.800,1806,27.700,44,0,"3","2_Testing"
303.300,311.800,1649,29.400,49,0,"3","2_Testing"
303.400,311.900,1402,50.000,54,0,"3","1_Training"
303.300,311.800,1441,44.900,61,0,"2","2_Testing"
303.300,311.800,1489,49.400,64,0,"2","1_Training"
303.300,311.800,1842,24.500,67,0,"1","1_Training"
303.300,311.800,1583,33.300,72,0,"2","1_Training"
303.300,311.800,1548,33.500,75,0,"2","2_Testing"
303.400,311.900,1434,44.600,78,0,"1","2_Testing"
303.500,312.000,1397,52.900,80,0,"3","1_Training"
303.500,312.000,1475,42.900,85,0,"2","1_Training"
303.500,312.000,1441,56.800,88,0,"1","1_Training"
303.700,312.200,1619,34.900,92,0,"1","1_Training"
303.700,312.200,1487,34.000,94,0,"1","1_Training"
303.700,312.200,1568,33.800,96,0,"1","1_Training"
303.700,312.300,1375,46.200,98,0,"1","2_Testing"
303.600,312.300,1698,31.300,100,0,"2","1_Training"
303.700,312.300,1606,37.400,103,0,"1","1_Training"
303.700,312.300,1349,51.000,105,0,"1","1_Training"
303.700,312.400,1535,38.600,107,0,"1","1_Training"
303.600,312.400,1504,49.500,109,0,"2","1_Training"
303.500,312.300,1946,21.100,112,0,"1","1_Training"
303.500,312.100,1326,55.700,114,0,"1","1_Training"
303.600,312.300,1915,22.300,116,0,"2","1_Training"
303.600,312.300,1451,43.400,119,0,"1","2_Testing"
303.500,312.300,1624,34.800,121,0,"2","2_Testing"
303.600,312.400,1781,28.700,124,0,"1","1_Training"
303.600,312.500,1345,54.100,126,0,"1","1_Training"
303.600,312.400,1418,46.000,128,0,"1","1_Training"
303.700,312.400,1718,26.500,130,0,"1","1_Training"
303.700,312.400,1631,28.500,132,0,"2","1_Training"
303.700,312.400,1513,40.100,135,0,"1","1_Training"
303.700,312.400,1316,59.300,137,0,"1","1_Training"
303.700,312.400,1474,38.800,139,0,"2","1_Training"
303.800,312.500,1619,30.900,142,0,"1","1_Training"
303.700,312.400,1702,31.200,144,0,"1","1_Training"
303.700,312.400,1540,37.400,146,0,"2","2_Testing"
303.700,312.400,1546,33.700,149,0,"2","1_Training"
303.700,312.400,1348,51.000,152,0,"1","1_Training"
303.700,312.500,1520,35.600,154,0,"3","1_Training"
303.800,312.600,1527,41.900,159,0,"2","2_Testing"
303.800,312.600,1406,47.100,162,0,"2","2_Testing"
303.700,312.500,1462,46.200,165,0,"1","1_Training"
303.800,312.600,1684,29.300,167,0,"2","2_Testing"
303.800,312.500,1655,28.000,170,0,"3","2_Testing"
303.800,312.500,1748,25.100,175,0,"3","2_Testing"
303.800,312.500,1372,45.700,180,0,"1","1_Training"
303.700,312.500,1481,33.300,182,0,"1","1_Training"
303.700,312.400,1512,39.200,184,0,"1","1_Training"
303.700,312.500,1632,36.600,186,0,"1","2_Testing"
303.700,312.400,1525,43.900,188,0,"1","1_Training"
303.700,312.300,1756,26.400,190,0,"2","2_Testing"
303.700,312.300,1922,23.100,193,0,"1","1_Training"
303.800,312.500,1448,44.300,195,0,"2","1_Training"
303.800,312.500,1447,46.600,198,0,"3","1_Training"
303.800,312.400,1597,33.400,203,0,"2","1_Training"
303.700,312.400,1642,32.300,206,0,"2","1_Training"
303.800,312.500,1525,38.000,209,0,"3","2_Testing"
303.600,312.400,1460,53.700,214,0,"3","1_Training"
303.600,312.300,2168,17.700,219,0,"1","1_Training"
303.600,312.400,1388,41.900,221,0,"1","2_Testing"
303.600,312.300,1630,32.400,223,0,"2","1_Training"
303.600,312.300,1616,29.300,226,0,"1","1_Training"
303.600,312.400,2232,16.800,0,0,"1","1_Training"
303.600,312.400,1480,50.700,2,0,"3","1_Training"
303.600,312.400,1363,53.100,7,0,"1","1_Training"
303.600,312.400,1436,45.600,9,0,"3","2_Testing"
303.600,312.500,1607,33.700,14,0,"2","1_Training"
303.600,312.500,1459,48.200,17,0,"2","1_Training"
303.500,312.400,1481,43.700,20,0,"1","1_Training"
303.500,312.400,1606,31.700,22,0,"2","1_Training"
303.500,312.300,1681,29.800,25,0,"1","1_Training"
303.500,312.200,1511,37.100,27,0,"1","2_Testing"
303.500,312.300,1593,35.200,29,0,"2","1_Training"
303.500,312.300,1532,41.700,32,0,"2","1_Training"
303.500,312.300,1386,49.000,35,0,"3","2_Testing"
303.400,312.300,1769,27.900,40,0,"3","1_Training"
303.400,312.200,1561,38.200,45,0,"2","1_Training"
303.300,312.200,1457,40.700,48,0,"1","1_Training"
303.300,312.200,1506,40.000,50,0,"1","1_Training"
303.400,312.300,1287,54.800,54,0,"1","1_Training"
303.400,312.200,1615,35.700,56,0,"2","2_Testing"
303.400,312.200,1972,23.500,59,0,"2","1_Training"
303.400,312.300,1522,42.100,62,0,"3","1_Training"
303.400,312.300,1680,30.600,67,0,"1","1_Training"
303.400,312.300,1502,36.000,69,0,"1","2_Testing"
303.500,312.300,1543,33.300,71,0,"2","1_Training"
303.500,312.300,1584,35.200,74,0,"1","1_Training"
303.500,312.400,1340,44.500,76,0,"1","1_Training"
303.400,312.300,1663,33.900,78,0,"1","1_Training"
303.300,312.100,1693,30.000,80,0,"2","1_Training"
303.300,312.100,1418,44.700,83,0,"1","1_Training"
303.400,312.200,1554,36.800,85,0,"3","2_Testing"
303.400,312.200,1580,35.800,90,0,"1","2_Testing"
